Index,Signal,Players,Current Crash,Prev Crash,Pool (SOL),Overall Cashout,System PNL,Time,Success
291,WAIT,9,12.60,1.23,3.832,0,0,2026-06-15T06:12:56.000Z,0
292,WAIT,9,1.23,1.30,3.832,0,0,2026-06-15T06:11:48.000Z,1
293,WAIT,9,1.30,1.01,2.862,0,0,2026-06-15T06:11:20.000Z,1
294,WAIT,10,1.01,1.00,2.862,0,0,2026-06-15T06:10:51.000Z,1
295,WAIT,10,1.00,5.05,2.791,0,0,2026-06-15T06:10:26.000Z,1
296,WAIT,8,5.05,1.21,3.097,0.9446,0,2026-06-15T06:10:00.000Z,0
297,WAIT,9,1.21,2.78,3.140,0.0378,0,2026-06-15T06:09:09.000Z,1
298,WAIT,9,2.78,1.24,0.583,0,0,2026-06-15T06:08:40.000Z,0
299,WAIT,9,1.24,1.03,0.583,0.0050,0,2026-06-15T06:07:57.000Z,1
300,BET,8,1.03,1.19,0.265,0,0,2026-06-15T06:07:29.000Z,0
301,WAIT,13,1.19,1.22,1.440,0,0,2026-06-15T06:07:03.000Z,1
302,WAIT,13,1.22,13.35,1.440,1.3229,0,2026-06-15T06:06:36.000Z,1
303,BET,16,13.35,1.11,1.415,2.1810,0,2026-06-15T06:06:07.000Z,1
304,WAIT,16,1.11,2.50,2.315,0.0050,0,2026-06-15T06:04:59.000Z,1
305,BET,14,2.50,1.10,2.315,2.3555,0,2026-06-15T06:04:32.000Z,1
306,WAIT,14,1.10,2.99,0.317,0.0124,0,2026-06-15T06:03:51.000Z,1
307,WAIT,11,2.99,1.08,0.317,0.3118,0,2026-06-15T06:03:24.000Z,0
308,WAIT,11,1.08,1.59,0.317,0.0727,0,2026-06-15T06:03:09.000Z,1
309,WAIT,12,1.59,1.00,3.250,0.0099,0,2026-06-15T05:53:52.000Z,1
310,WAIT,11,1.00,1.75,3.250,0,0,2026-06-15T05:53:19.000Z,1
311,WAIT,10,1.75,2.70,1.602,0.0710,0,2026-06-15T05:52:54.000Z,1
312,WAIT,12,2.70,1.11,1.769,0.0460,0,2026-06-15T05:52:17.000Z,0
313,WAIT,12,1.11,2.12,3.162,0,0,2026-06-15T05:51:36.000Z,1
314,WAIT,11,2.12,11.18,3.162,5.9377,0,2026-06-15T05:51:09.000Z,1
315,BET,9,11.18,2.29,0.187,0.2561,0,2026-06-15T05:50:31.000Z,1
316,WAIT,10,2.29,1.31,5.454,0,0,2026-06-15T05:49:26.000Z,1
317,WAIT,10,1.31,1.12,2.925,0.0164,0,2026-06-15T05:48:48.000Z,1
318,WAIT,11,1.12,16.02,2.925,0,0,2026-06-15T05:48:18.000Z,1
319,BET,11,16.02,4.90,0.243,0.6869,0,2026-06-15T05:47:51.000Z,1
320,WAIT,12,4.90,4.52,1.772,2.8163,0,2026-06-15T05:46:40.000Z,0
321,WAIT,7,4.52,1.02,0.301,0.3543,0,2026-06-15T05:45:48.000Z,0
322,WAIT,10,1.02,1.17,1.624,0,0,2026-06-15T05:44:58.000Z,1
323,BET,10,1.17,1.10,0.213,0,0,2026-06-15T05:44:32.000Z,0
324,BET,10,1.10,1.03,0.180,0,0,2026-06-15T05:44:05.000Z,0
325,WAIT,14,1.03,5.51,6.163,0,0,2026-06-15T05:43:38.000Z,1
326,WAIT,14,5.51,2.97,6.163,9.5382,0,2026-06-15T05:43:12.000Z,0
327,WAIT,11,2.97,1.22,3.332,0.1069,0,2026-06-15T05:42:20.000Z,0
328,WAIT,12,1.22,1.89,3.332,0,0,2026-06-15T05:41:37.000Z,1
329,WAIT,12,1.89,2.50,3.327,5.0630,0,2026-06-15T05:41:09.000Z,1
330,WAIT,10,2.50,1.01,3.128,4.3701,0,2026-06-15T05:40:33.000Z,0
331,WAIT,12,1.01,1.28,6.141,0,0,2026-06-15T05:39:53.000Z,1
332,WAIT,12,1.28,3.58,6.141,0.0101,0,2026-06-15T05:39:27.000Z,1
333,WAIT,12,3.58,1.22,5.236,6.1963,0,2026-06-15T05:38:58.000Z,0
334,WAIT,12,1.22,2.34,1.862,0,0,2026-06-15T05:38:12.000Z,1
335,WAIT,13,2.34,1.99,1.782,0.1677,0,2026-06-15T05:37:43.000Z,1
336,WAIT,13,1.99,1.87,3.080,0.0802,0,2026-06-15T05:37:04.000Z,1
337,WAIT,13,1.87,2.91,3.080,0.2257,0,2026-06-15T05:36:26.000Z,1
338,WAIT,10,2.91,2.59,2.621,0.0734,0,2026-06-15T05:35:51.000Z,0
339,WAIT,10,2.59,1.01,2.558,0.0794,0,2026-06-15T05:35:07.000Z,0
340,WAIT,13,1.01,6.62,2.618,0,0,2026-06-15T05:34:26.000Z,1
341,WAIT,15,6.62,4.85,1.854,0.0824,0,2026-06-15T05:34:00.000Z,0
342,BET,15,4.85,1.52,2.002,0.0779,0,2026-06-15T05:33:04.000Z,1
343,WAIT,19,1.52,21.04,2.599,0.0005,0,2026-06-15T05:32:13.000Z,1
344,WAIT,19,21.04,5.92,2.599,0.7471,0,2026-06-15T05:31:41.000Z,0
345,BET,14,5.92,1.70,1.256,0.3756,0,2026-06-15T05:30:25.000Z,1
346,BET,18,1.70,1.45,1.212,0.0146,0,2026-06-15T05:29:30.000Z,0
347,BET,18,1.45,1.76,1.212,0.0459,0,2026-06-15T05:28:57.000Z,0
348,WAIT,17,1.76,2.16,1.394,0.1388,0,2026-06-15T05:28:26.000Z,1
349,BET,16,2.16,1.49,1.494,0.6267,0,2026-06-15T05:27:51.000Z,0
350,BET,15,1.49,1.00,4.779,0.0217,0,2026-06-15T05:27:13.000Z,0
351,WAIT,16,1.00,5.05,4.779,0,0,2026-06-15T05:26:42.000Z,1
352,WAIT,18,5.05,3.76,1.127,0.4441,0,2026-06-15T05:26:16.000Z,0
353,WAIT,18,3.76,5.63,1.127,0.7011,0,2026-06-15T05:25:24.000Z,0
354,BET,15,5.63,1.80,4.543,0.0022,0,2026-06-15T05:24:37.000Z,1
355,WAIT,17,1.80,2.71,5.093,4.0631,0,2026-06-15T05:23:43.000Z,1
356,WAIT,16,2.71,3.16,3.826,0.2961,0,2026-06-15T05:23:08.000Z,0
357,BET,18,3.16,1.55,3.826,3.7671,0,2026-06-15T05:22:27.000Z,1
358,WAIT,18,1.55,5.23,3.617,3.2113,0,2026-06-15T05:21:43.000Z,1
359,WAIT,17,5.23,2.52,3.678,5.4823,0,2026-06-15T05:21:10.000Z,0
360,BET,18,2.52,1.04,4.401,4.1394,0,2026-06-15T05:20:18.000Z,1
361,WAIT,18,1.04,1.17,0.752,0.0025,0,2026-06-15T05:19:38.000Z,1
362,WAIT,15,1.17,14.50,0.763,0.0248,0,2026-06-15T05:19:12.000Z,1
363,WAIT,14,14.50,2.85,0.763,2.7061,0,2026-06-15T05:18:44.000Z,0
364,WAIT,10,2.85,8.01,0.738,0.0610,0,2026-06-15T05:17:34.000Z,0
365,BET,14,8.01,1.06,9.451,0.0328,0,2026-06-15T05:16:52.000Z,1
366,BET,17,1.06,1.42,9.451,0,0,2026-06-15T05:15:53.000Z,0
367,WAIT,20,1.42,2.30,14.860,0.0034,0,2026-06-15T05:15:27.000Z,1
368,BET,20,2.30,1.17,14.860,18.8687,0,2026-06-15T05:14:56.000Z,0
369,WAIT,20,1.17,2.70,4.265,0,0,2026-06-15T05:14:17.000Z,1
370,WAIT,16,2.70,2.00,0.942,1.0099,0,2026-06-15T05:13:50.000Z,0
371,WAIT,18,2.00,1.72,0.576,0.2993,0,2026-06-15T05:13:09.000Z,1
372,BET,18,1.72,1.33,0.937,0.2346,0,2026-06-15T05:12:32.000Z,0
373,BET,18,1.33,1.34,0.937,0.0026,0,2026-06-15T05:11:59.000Z,0
